Line,Station,Longitude,Latitude
1,韦家碾,104.093568,30.723298
1,升仙湖,104.089935,30.710639
1,火车北站,104.080354,30.701458
1,人民北路,104.079208,30.691592
1,文殊院,104.074467,30.678443
1,骡马市,104.072169,30.672684
1,天府广场,104.072525,30.663485
1,锦江宾馆,104.072507,30.656241
1,华西坝,104.072743,30.649044
1,省体育馆,104.072783,30.639472
1,倪家桥,104.072895,30.630932
1,桐梓林,104.073642,30.621375
1,火车南站,104.073663,30.610881
1,高新,104.070277,30.600337
1,金融城,104.070573,30.588679
1,孵化园,104.072316,30.582009
1,锦城广场,104.074164,30.574038
1,世纪城,104.075143,30.560685
1,天府三街,104.075175,30.552622
1,天府五街,104.075468,30.542953
1,华府大道,104.075945,30.531748
1,四河,104.076363,30.522797
1,华阳,104.077037,30.50938
1,海昌路,104.077465,30.498881
1,广福,104.076839,30.483925
1,红石公园,104.079139,30.470238
1,麓湖,104.079669,30.460511
1,武汉路,104.079948,30.448696
1,天府公园,104.084322,30.439036
1,西博城,104.082442,30.430495
1,广州路,104.0839,30.424744
1,兴隆湖,104.082948,30.411095
1,科学城,104.078763,30.397343
7,崔家店,104.142949,30.67157
7,双店路,104.143602,30.663427
7,槐树店,104.145913,30.65598
7,迎晖路,104.146216,30.645195
7,成都东客站,104.147357,30.635151
7,大观,104.139212,30.62765
7,狮子山,104.130852,30.62185
7,四川师大,104.122618,30.615102
7,琉璃场,104.106408,30.613229
7,三瓦窑,104.084344,30.610034
7,火车南站,104.073663,30.610881
7,神仙树,104.054223,30.616046
7,高朋大道,104.039926,30.623718
7,太平园,104.027774,30.631577
7,武侯大道,104.0193,30.643407
7,龙爪堰,104.015004,30.657335
7,东坡路,104.014456,30.666868
7,文化宫,104.016235,30.67775
7,金沙博物馆,104.019096,30.683477
7,一品天下,104.026772,30.695227
7,茶店子,104.037344,30.702534
7,花照壁,104.047248,30.702914
7,西南交大,104.055494,30.701119
7,九里堤,104.063457,30.700879
7,北站西二路,104.072587,30.700391
7,火车北站,104.080354,30.701458
7,驷马桥,104.100604,30.701188
7,府青路,104.113719,30.700231
7,八里庄,104.124607,30.692966
7,二仙桥,104.132893,30.686739
7,理工大学,104.143066,30.679745
7,崔家店,104.142949,30.67157
8,十里店,104.150752,30.685918
8,理工大学,104.143066,30.679745
8,东郊记忆,104.135614,30.674536
8,杉板桥,104.125838,30.669991
8,万年路,104.121574,30.660427
8,双桥路,104.119789,30.652251
8,东大路,104.119101,30.639263
8,净居寺,104.110846,30.628185
8,东光,104.104556,30.625342
8,东湖公园,104.094456,30.625207
8,川大望江校区,104.082289,30.631163
8,倪家桥,104.072895,30.630932
8,芳草街,104.059062,30.63215
8,永丰,104.053381,30.63449
8,九兴大道,104.045255,30.627609
8,高朋大道,104.039926,30.623718
8,殷家林,104.040843,30.612116
8,庆安,104.040579,30.604678
8,石羊,104.03747,30.59167
8,三元,104.032516,30.587695
8,顺风,104.017477,30.583134
8,珠江路,104.014576,30.57235
8,川大江安校区,104.013624,30.56129
8,文星,103.997218,30.556315
8,莲花,103.985939,30.551865
