Line,Station,Longitude,Latitude
1,韦家碾,104.093568,30.723298
1,升仙湖,104.089935,30.710639
1,火车北站,104.080354,30.701458
1,人民北路,104.079208,30.691592
1,文殊院,104.074467,30.678443
1,骡马市,104.072169,30.672684
1,天府广场,104.072525,30.663485
1,锦江宾馆,104.072507,30.656241
1,华西坝,104.072743,30.649044
1,省体育馆,104.072783,30.639472
1,倪家桥,104.072895,30.630932
1,桐梓林,104.073642,30.621375
1,火车南站,104.073663,30.610881
1,高新,104.070277,30.600337
1,金融城,104.070573,30.588679
1,孵化园,104.072316,30.582009
1,锦城广场,104.074164,30.574038
1,世纪城,104.075143,30.560685
1,天府三街,104.075175,30.552622
1,天府五街,104.075468,30.542953
1,华府大道,104.075945,30.531748
1,四河,104.076363,30.522797
1,华阳,104.077037,30.50938
1,海昌路,104.077465,30.498881
1,广福,104.076839,30.483925
1,红石公园,104.079139,30.470238
1,麓湖,104.079669,30.460511
1,武汉路,104.079948,30.448696
1,天府公园,104.084322,30.439036
1,西博城,104.082442,30.430495
1,广州路,104.0839,30.424744
1,兴隆湖,104.082948,30.411095
1,科学城,104.078763,30.397343
2,龙泉驿,104.274371,30.566287
2,龙平路,104.265307,30.579158
2,书房,104.248644,30.581505
2,界牌,104.231751,30.588479
2,连山坡,104.219417,30.593276
2,大面铺,104.207676,30.598356
2,成都行政学院,104.176909,30.603493
2,洪河,104.164163,30.611088
2,惠王陵,104.15868,30.618259
2,成渝立交,104.153767,30.631205
2,成都东客站,104.147357,30.635151
2,塔子山公园,104.129834,30.635384
2,东大路,104.119101,30.639263
2,牛市口,104.114378,30.64367
2,牛王庙,104.100273,30.650562
2,东门大桥,104.09391,30.654069
2,春熙路,104.086002,30.659204
2,天府广场,104.072525,30.663485
2,人民公园,104.063061,30.665527
2,通惠门,104.054964,30.668421
2,中医大省医院,104.047256,30.672356
2,白果林,104.039623,30.67998
2,蜀汉路东,104.035389,30.689271
2,一品天下,104.026772,30.695227
2,羊犀立交,104.018963,30.700215
2,茶店子客运站,104.019831,30.711968
2,迎宾大道,104.020016,30.719312
2,金科北路,104.013161,30.726773
2,金周路,104.002639,30.727445
2,百草路,103.985918,30.738784
2,天河路,103.982564,30.751225
2,犀浦,103.977365,30.763718
3,双流西站,103.923595,30.549467
3,三里坝,103.920933,30.559876
3,双流广场,103.926732,30.570888
3,东升,103.931929,30.577676
3,迎春桥,103.941515,30.586976
3,航都大街,103.943354,30.597347
3,龙桥路,103.951195,30.611018
3,双凤桥,103.975705,30.621614
3,武青南路,103.991739,30.628332
3,武侯立交,103.999961,30.632698
3,川藏立交,104.012676,30.628796
3,太平园,104.027774,30.631577
3,红牌楼,104.036032,30.640808
3,高升桥,104.048664,30.646067
3,衣冠庙,104.058645,30.6407
3,省体育馆,104.072783,30.639472
3,磨子桥,104.08249,30.64325
3,新南门,104.081674,30.650251
3,春熙路,104.086002,30.659204
3,市二医院,104.091107,30.666393
3,红星桥,104.096977,30.676872
3,前锋路,104.099127,30.684027
